vintage,age,gender,line,table_code,qx,source
2000,0,F,non_pension_type1,CL2,0.000661,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,1,F,non_pension_type1,CL2,0.000536,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,2,F,non_pension_type1,CL2,0.000424,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,3,F,non_pension_type1,CL2,0.000333,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,4,F,non_pension_type1,CL2,0.000267,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,5,F,non_pension_type1,CL2,0.000224,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,6,F,non_pension_type1,CL2,0.000201,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,7,F,non_pension_type1,CL2,0.000189,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,8,F,non_pension_type1,CL2,0.000181,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,9,F,non_pension_type1,CL2,0.000175,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,10,F,non_pension_type1,CL2,0.000169,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,11,F,non_pension_type1,CL2,0.000165,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,12,F,non_pension_type1,CL2,0.000165,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,13,F,non_pension_type1,CL2,0.000169,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,14,F,non_pension_type1,CL2,0.000179,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,15,F,non_pension_type1,CL2,0.000192,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,16,F,non_pension_type1,CL2,0.000208,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,17,F,non_pension_type1,CL2,0.000226,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,18,F,non_pension_type1,CL2,0.000245,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,19,F,non_pension_type1,CL2,0.000264,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,20,F,non_pension_type1,CL2,0.000283,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,21,F,non_pension_type1,CL2,0.0003,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,22,F,non_pension_type1,CL2,0.000315,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,23,F,non_pension_type1,CL2,0.000328,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,24,F,non_pension_type1,CL2,0.000338,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,25,F,non_pension_type1,CL2,0.000347,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,26,F,non_pension_type1,CL2,0.000355,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,27,F,non_pension_type1,CL2,0.000362,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,28,F,non_pension_type1,CL2,0.000372,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,29,F,non_pension_type1,CL2,0.000386,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,30,F,non_pension_type1,CL2,0.000406,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,31,F,non_pension_type1,CL2,0.000432,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,32,F,non_pension_type1,CL2,0.000465,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,33,F,non_pension_type1,CL2,0.000496,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,34,F,non_pension_type1,CL2,0.000528,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,35,F,non_pension_type1,CL2,0.000563,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,36,F,non_pension_type1,CL2,0.000601,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,37,F,non_pension_type1,CL2,0.000646,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,38,F,non_pension_type1,CL2,0.000699,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,39,F,non_pension_type1,CL2,0.000761,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,40,F,non_pension_type1,CL2,0.000828,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,41,F,non_pension_type1,CL2,0.000897,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,42,F,non_pension_type1,CL2,0.000966,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,43,F,non_pension_type1,CL2,0.001033,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,44,F,non_pension_type1,CL2,0.001103,"CL(2000-2003), CIRC Notice ????2005?133?"
2000,45,F,non_pension_type1,CL2,0.001181,"CL(2000-2003), CIRC Notice ????2005?133?"
