date,csi300,sp500,stoxx50
2022-09-07,4054.983,3979.8701,3502.09
2022-09-08,4037.684,4006.1799,3512.38
2022-09-09,4093.787,4067.3601,3570.04
2022-09-13,4111.115,3932.6899,3586.18
2022-09-14,4065.359,3946.01,3567.56
2022-09-15,4027.119,3901.3501,3541.79
2022-09-16,3932.683,3873.3301,3500.41
2022-09-19,3928.0,3899.8899,3499.49
2022-09-20,3932.836,3855.9299,3467.09
2022-09-21,3903.735,3789.9299,3491.87
2022-09-22,3869.344,3757.99,3427.14
2022-09-23,3856.021,3693.23,3348.6
2022-09-26,3836.677,3655.04,3342.56
2022-09-27,3892.295,3647.29,3328.65
2022-09-28,3828.71,3719.04,3335.3
2022-09-29,3827.143,3640.47,3279.04
2022-09-30,3804.885,3585.6201,3318.2
2022-10-10,3720.937,3612.3899,3356.88
2022-10-11,3727.687,3588.8401,3340.35
2022-10-12,3784.306,3577.03,3331.53
2022-10-13,3752.673,3669.9099,3362.4
2022-10-14,3842.47,3583.0701,3381.73
2022-10-17,3846.412,3677.95,3441.64
2022-10-18,3838.267,3719.98,3463.83
2022-10-19,3776.534,3695.1599,3471.24
2022-10-20,3754.927,3665.78,3492.85
2022-10-21,3742.893,3752.75,3476.63
2022-10-24,3633.373,3797.3401,3527.79
2022-10-25,3627.454,3859.1101,3585.58
2022-10-26,3656.903,3830.6001,3605.31
2022-10-27,3631.145,3807.3,3604.51
2022-10-28,3541.33,3901.0601,3613.02
2022-10-31,3508.703,3871.98,3617.54
2022-11-01,3634.173,3856.1001,3651.02
2022-11-02,3677.805,3759.6899,3622.01
2022-11-03,3647.897,3719.8899,3593.18
2022-11-04,3767.175,3770.55,3688.33
2022-11-07,3775.297,3806.8,3708.8
2022-11-08,3749.325,3828.1101,3739.28
2022-11-09,3714.27,3748.5701,3728.03
2022-11-10,3685.689,3956.3701,3846.56
2022-11-11,3788.439,3992.9299,3868.5
2022-11-14,3794.017,3957.25,3887.51
2022-11-15,3865.973,3991.73,3915.09
2022-11-16,3834.39,3958.79,3882.78
2022-11-17,3818.664,3946.5601,3878.42
2022-11-18,3801.569,3965.3401,3924.84
2022-11-21,3769.127,3949.9399,3909.28
2022-11-22,3769.573,4003.5801,3929.9
2022-11-23,3773.529,4027.26,3946.44
2022-11-25,3775.776,4026.1201,3962.41
2022-11-28,3733.242,3963.9399,3935.51
2022-11-29,3848.422,3957.6299,3934.44
2022-11-30,3853.037,4080.1101,3964.72
2022-12-01,3894.769,4076.5701,3984.5
2022-12-02,3870.948,4071.7,3977.9
2022-12-05,3946.876,3998.8401,3956.53
2022-12-06,3968.198,3941.26,3939.19
2022-12-07,3958.441,3933.9199,3920.9
2022-12-08,3959.18,3963.51,3921.27
2022-12-09,3998.244,3934.3799,3942.62
2022-12-12,3953.443,3990.5601,3921.82
2022-12-13,3945.681,4019.6499,3986.83
2022-12-14,3954.886,3995.3201,3975.26
2022-12-15,3951.989,3895.75,3835.7
2022-12-16,3954.227,3852.3601,3804.02
2022-12-19,3893.221,3817.6599,3811.24
2022-12-20,3829.017,3821.6201,3802.49
2022-12-21,3830.538,3878.4399,3872.15
2022-12-22,3836.028,3822.3899,3823.29
2022-12-23,3828.219,3844.8201,3817.01
2022-12-27,3887.854,3829.25,3832.89
2022-12-28,3871.264,3783.22,3808.82
2022-12-29,3856.701,3849.28,3850.07
2022-12-30,3871.634,3839.5,3793.62
2023-01-03,3887.899,3824.1399,3882.29
2023-01-04,3892.948,3852.97,3973.97
2023-01-05,3968.578,3808.1001,3959.48
2023-01-06,3980.889,3895.0801,4017.83
2023-01-09,4013.12,3892.0901,4068.62
2023-01-10,4017.474,3919.25,4057.46
2023-01-11,4010.031,3969.6101,4099.76
2023-01-12,4017.869,3983.1699,4126.68
2023-01-13,4074.377,3999.0901,4150.8
2023-01-17,4137.242,3990.97,4174.33
2023-01-18,4130.314,3928.8601,4174.34
2023-01-19,4156.008,3898.8501,4094.28
2023-01-20,4181.527,3972.6101,4119.9
2023-01-30,4201.345,4017.77,4158.63
2023-01-31,4156.858,4076.6001,4163.45
2023-02-01,4195.933,4119.21,4171.44
